170.561,111.524,107.798
170.561,111.524,107.798
78.6519,76.6924,65.3475
74.1616,74.1694,59.1819
74.4842,74.1641,59.6136
71.7983,71.6672,55.29
70.8094,70.8458,54.6362
64.6255,64.7455,50.7246
66.0447,65.0382,51.0737
66.7072,66.0945,51.8171
71.2731,69.7671,53.6898
71.9117,68.4507,54.613
72.472,70.6102,55.4334
70.0498,70.8222,53.9204
70.5287,69.6043,54.3242
70.5215,69.6858,53.9572
69.3978,67.6564,54.2541
69.9896,68.4259,53.887
69.4098,67.7711,52.7369
69.3651,67.8102,54.1285
69.2929,67.9769,53.4554
70.1234,68.4312,53.6103
83.1258,80.1266,85.2677
78.6612,77.6373,78.092
78.8528,77.7107,79.0597
75.7138,74.2343,74.4052
76.0054,75.0753,75.0217
72.6069,68.906,71.8924
71.7757,66.7544,69.4601
72.3194,68.4449,69.6742
70.7696,68.0086,70.2991
69.9716,67.4194,69.4083
71.0426,66.3229,69.3547
70.7511,68.4101,69.717
70.4521,67.6035,69.7706
70.8635,65.9988,69.0215
70.5425,66.6692,69.2633
70.3397,66.9495,68.2105
70.1003,67.9973,69.5239
